Product_id,Order_date,Customer_gender,Customer_country,Category,Subcategory,Actual_price,Discounted_price,Discount_amount,Discount_percentage,Rating,Rating_count,Ranking
B07JW1Y6XV,2021-01-14,F,UK,Computers&Accessories,Accessories&Peripherals,13.19,4.79,8.399999999999999,64.0,4.2,,Good
B07KRCW6LZ,2021-10-06,M,Italy,Computers&Accessories,NetworkingDevices,19.19,11.99,7.200000000000001,38.0,4.3,,Good
B09NJN8L25,2021-02-11,F,UK,Computers&Accessories,Accessories&Peripherals,2.39,0.71,1.6800000000000002,70.0,4.0,,Average
B07XJYYH7L,2021-01-23,M,Italy,Computers&Accessories,Accessories&Peripherals,11.99,4.0,7.99,67.0,3.3,,Average
B002PD61Y4,2021-01-20,F,Japan,Computers&Accessories,NetworkingDevices,14.5,6.08,8.42,58.0,4.1,,Good
B014I8SSD0,2021-01-18,M,Italy,Electronics,"HomeTheater,TV&Video",5.7,3.71,1.9900000000000002,35.0,4.4,,Good
B09L8DSSFH,2021-09-29,F,Spain,Electronics,"HomeTheater,TV&Video",11.99,4.79,7.2,60.0,3.6,493.0,Average
B07232M876,2021-08-18,F,Spain,Computers&Accessories,Accessories&Peripherals,4.74,2.39,2.35,50.0,4.2,,Good
B07P681N66,2021-08-19,F,USA,Computers&Accessories,NetworkingDevices,26.39,14.39,12.0,45.0,4.4,,Good
B0711PVX6Z,2021-07-30,M,Spain,Computers&Accessories,Accessories&Peripherals,6.0,2.15,3.85,64.0,4.2,,Good
B082T6V3DT,2021-04-01,M,France,Computers&Accessories,Accessories&Peripherals,25.2,9.59,15.61,62.0,4.3,,Good
B07MKFNHKG,2021-11-18,F,Portugal,Electronics,"HomeTheater,TV&Video",155.99,83.99,72.00000000000001,46.0,4.2,,Good
B0BFWGBX61,2021-03-09,M,Spain,Computers&Accessories,Accessories&Peripherals,4.19,2.39,1.8000000000000003,43.0,4.1,314.0,Good
B01N90RZ4M,2021-07-01,M,Spain,Electronics,"HomeTheater,TV&Video",5.99,2.76,3.2300000000000004,54.0,3.7,,Average
B0088TKTY2,2021-07-22,M,Italy,Computers&Accessories,NetworkingDevices,16.79,7.79,9.0,54.0,4.2,,Good
B09Q5SWVBJ,2021-01-10,M,France,Electronics,"HomeTheater,TV&Video",263.99,191.99,72.0,27.0,4.2,,Good
B0B4DT8MKT,2021-12-08,F,Italy,Computers&Accessories,Accessories&Peripherals,17.99,4.18,13.809999999999999,77.0,4.2,656.0,Good
B08CDKQ8T6,2021-01-20,M,UK,Computers&Accessories,Accessories&Peripherals,4.19,1.85,2.3400000000000003,56.0,4.3,,Good
B07B275VN9,2021-09-21,M,Japan,Electronics,"HomeTheater,TV&Video",9.59,2.15,7.4399999999999995,78.0,3.7,,Average
B0B15CPR37,2021-05-23,F,USA,Electronics,"HomeTheater,TV&Video",574.8,395.88,178.91999999999996,31.0,4.3,,Good
B0994GFWBH,2021-08-04,M,USA,Computers&Accessories,Accessories&Peripherals,11.99,1.67,10.32,86.0,4.0,,Average
B01GGKZ0V6,2021-08-03,F,UK,Computers&Accessories,Accessories&Peripherals,10.14,3.95,6.19,61.0,4.2,,Good
B09F9YQQ7B,2021-09-04,F,UK,Electronics,"HomeTheater,TV&Video",299.99,167.99,132.0,44.0,4.2,,Good
B014I8SX4Y,2021-01-27,M,Japan,Electronics,"HomeTheater,TV&Video",16.8,3.71,13.09,78.0,4.4,,Good
B09Q8HMKZX,2021-03-16,M,Italy,Computers&Accessories,Accessories&Peripherals,8.39,3.16,5.23,62.0,4.1,450.0,Good
B0B9XN9S3W,2021-12-19,M,Japan,Electronics,"HomeTheater,TV&Video",179.88,95.99,83.89,47.0,4.3,457.0,Good
B07966M8XH,2021-09-21,F,USA,Electronics,"HomeTheater,TV&Video",35.99,19.19,16.8,47.0,4.2,,Good
B01GGKYKQM,2021-05-27,F,Japan,Computers&Accessories,Accessories&Peripherals,8.4,2.63,5.7700000000000005,69.0,4.3,,Good
B0B86CDHL1,2021-10-31,M,USA,Computers&Accessories,Accessories&Peripherals,10.79,4.19,6.599999999999999,61.0,4.5,149.0,Good
B0B5ZF3NRK,2021-06-10,F,France,Computers&Accessories,Accessories&Peripherals,7.19,4.19,3.0,42.0,4.1,210.0,Good
B09RFC46VP,2021-08-03,M,Spain,Electronics,"HomeTheater,TV&Video",515.99,323.99,192.0,37.0,4.2,,Good
B08R69VDHT,2021-12-29,F,Spain,Computers&Accessories,Accessories&Peripherals,5.99,1.38,4.61,77.0,4.0,,Average
B09RWZRCP1,2021-01-30,M,Italy,Computers&Accessories,Accessories&Peripherals,11.99,4.79,7.2,60.0,4.1,,Good
B09CMP1SC8,2021-06-02,M,Italy,Computers&Accessories,Accessories&Peripherals,5.99,2.39,3.6,60.0,4.1,602.0,Good
B09YLXYP7Y,2021-11-26,F,France,Computers&Accessories,Accessories&Peripherals,4.79,2.15,2.64,55.0,4.0,,Average
B09ZPM4C2C,2021-08-22,F,Spain,Electronics,"HomeTheater,TV&Video",371.88,130.81,241.07,65.0,4.1,398.0,Good
B0B2DJDCPX,2021-07-31,M,USA,Computers&Accessories,Accessories&Peripherals,5.99,2.51,3.4800000000000004,58.0,3.9,536.0,Average
B0BCZCQTJX,2021-08-31,M,USA,Electronics,"HomeTheater,TV&Video",47.99,17.21,30.78,64.0,4.0,32.0,Average
B07LGT55SJ,2021-03-09,M,Japan,Computers&Accessories,Accessories&Peripherals,13.19,4.79,8.399999999999999,64.0,4.2,,Good
B09NKZXMWJ,2021-01-17,F,France,Computers&Accessories,Accessories&Peripherals,2.99,1.67,1.3200000000000003,44.0,4.0,,Average
B08QX1CC14,2021-04-16,M,France,Electronics,"HomeTheater,TV&Video",229.5,87.59,141.91,62.0,3.4,902.0,Average
B0974H97TJ,2021-09-06,M,Portugal,Computers&Accessories,Accessories&Peripherals,9.59,3.59,6.0,63.0,4.4,,Good
B07GVGTSLN,2021-06-24,M,Portugal,Computers&Accessories,Accessories&Peripherals,15.59,3.9,11.69,75.0,4.2,,Good
B09VCHLSJF,2021-01-16,F,Japan,Electronics,"HomeTheater,TV&Video",479.99,359.99,120.0,25.0,4.2,,Good
B0B1YZX72F,2021-10-28,M,Spain,Electronics,"HomeTheater,TV&Video",491.88,335.99,155.89,32.0,4.3,,Good
B092BJMT8Q,2021-11-25,F,Portugal,Electronics,"HomeTheater,TV&Video",634.8,371.88,262.91999999999996,41.0,4.3,,Good
B0BMXMLSMM,2021-05-23,M,France,Computers&Accessories,Accessories&Peripherals,11.99,2.39,9.6,80.0,4.5,127.0,Good
B07JH1C41D,2021-07-25,F,Spain,Computers&Accessories,Accessories&Peripherals,23.99,7.79,16.2,68.0,4.2,,Good
B0141EZMAI,2021-07-21,F,France,Computers&Accessories,NetworkingDevices,9.6,3.23,6.369999999999999,66.0,3.6,,Average
B09Q5P2MT3,2021-04-27,M,Spain,Electronics,"HomeTheater,TV&Video",383.99,299.99,84.0,22.0,4.2,,Good
B08HDH26JX,2021-01-25,F,Spain,Computers&Accessories,Accessories&Peripherals,8.39,3.59,4.800000000000001,57.0,4.2,,Good
B09VT6JKRP,2021-08-08,M,Japan,Computers&Accessories,Accessories&Peripherals,11.99,2.39,9.6,80.0,4.1,425.0,Good
B09T3KB6JZ,2021-06-08,M,Japan,Electronics,"HomeTheater,TV&Video",491.88,227.88,264.0,54.0,4.2,,Good
B093QCY6YJ,2021-12-21,M,USA,Computers&Accessories,NetworkingDevices,4.19,3.48,0.7100000000000004,17.0,3.7,,Average
B093ZNQZ2Y,2021-08-27,M,UK,Electronics,"HomeTheater,TV&Video",9.59,2.99,6.6,69.0,3.8,,Average
B08LKS3LSP,2021-01-08,M,Italy,Computers&Accessories,Accessories&Peripherals,11.99,4.14,7.8500000000000005,65.0,3.7,,Average
B00V4BGDKU,2021-12-16,F,Portugal,Computers&Accessories,NetworkingDevices,22.79,13.19,9.6,42.0,4.5,,Good
B08CHKQ8D4,2021-05-22,F,Italy,Computers&Accessories,Accessories&Peripherals,17.99,8.63,9.359999999999998,52.0,4.1,,Good
B09BW334ML,2021-02-15,F,USA,Electronics,"HomeTheater,TV&Video",17.99,4.19,13.799999999999997,77.0,4.3,,Good
B082T6GVLJ,2021-12-24,F,USA,Computers&Accessories,Accessories&Peripherals,21.71,10.19,11.520000000000001,53.0,4.3,,Good
B07DL1KC3H,2021-04-06,M,Italy,Electronics,"HomeTheater,TV&Video",10.79,3.59,7.199999999999999,67.0,4.0,,Average
B0B6F98KJJ,2021-02-07,M,Portugal,Electronics,"HomeTheater,TV&Video",359.99,263.99,96.0,27.0,4.2,,Good
B07JNVF678,2021-10-07,M,Italy,Computers&Accessories,Accessories&Peripherals,11.99,4.19,7.8,65.0,4.2,,Good
B09QGZFBPM,2021-07-02,F,Portugal,Computers&Accessories,Accessories&Peripherals,11.99,4.79,7.2,60.0,4.3,,Good
B07JGDB5M1,2021-01-27,F,Spain,Computers&Accessories,Accessories&Peripherals,15.59,5.39,10.2,65.0,4.2,,Good
B0981XSZJ7,2021-12-12,M,UK,Computers&Accessories,Accessories&Peripherals,11.99,3.59,8.4,70.0,4.3,766.0,Good
B0B9XLX8VR,2021-12-14,F,France,Electronics,"HomeTheater,TV&Video",780.0,455.99,324.01,42.0,4.3,,Good
B08Y5KXR6Z,2021-11-02,M,Japan,Computers&Accessories,Accessories&Peripherals,9.6,1.19,8.41,88.0,3.9,,Average
B09F6VHQXB,2021-09-20,F,USA,Electronics,"HomeTheater,TV&Video",240.0,88.68,151.32,63.0,4.1,,Good
B0974G5Q2Y,2021-04-03,F,Spain,Computers&Accessories,Accessories&Peripherals,11.99,3.28,8.71,73.0,4.3,,Good
B09YL9SN9B,2021-01-25,F,Portugal,Electronics,"HomeTheater,TV&Video",287.88,191.88,96.0,33.0,4.3,,Good
B09RX1FK54,2021-11-07,M,Japan,Computers&Accessories,Accessories&Peripherals,11.99,4.79,7.2,60.0,4.1,,Good
B09TT6BFDX,2021-06-29,M,France,Electronics,"HomeTheater,TV&Video",23.99,4.79,19.2,80.0,4.5,505.0,Good
B09KH58JZR,2021-10-21,F,Italy,Computers&Accessories,Accessories&Peripherals,4.79,2.52,2.27,47.0,4.1,,Good
B09DDCQFMT,2021-09-01,M,USA,Electronics,"HomeTheater,TV&Video",23.99,15.59,8.399999999999999,35.0,3.6,590.0,Average
B08RP2L2NL,2021-01-25,F,Portugal,Computers&Accessories,Accessories&Peripherals,11.99,4.16,7.83,65.0,3.5,,Average
B0B4G2MWSB,2021-11-11,F,Portugal,Computers&Accessories,Accessories&Peripherals,11.99,1.79,10.2,85.0,4.0,,Average
B0B21C4BMX,2021-01-15,F,France,Computers&Accessories,Accessories&Peripherals,10.79,2.74,8.049999999999999,75.0,3.8,132.0,Average
B084MZXJNK,2021-01-13,M,UK,Computers&Accessories,Accessories&Peripherals,23.99,19.19,4.799999999999997,20.0,4.4,,Good
B0BHZCNC4P,2021-04-02,M,Spain,Electronics,"HomeTheater,TV&Video",47.99,17.99,30.000000000000004,63.0,3.7,37.0,Average
B0B16KD737,2021-07-06,F,France,Electronics,"HomeTheater,TV&Video",191.99,101.99,90.00000000000001,47.0,4.3,592.0,Good
B099K9ZX65,2021-08-18,F,France,Electronics,"HomeTheater,TV&Video",539.88,251.88,288.0,53.0,4.1,,Good
B08Y55LPBF,2021-04-13,F,UK,Electronics,"HomeTheater,TV&Video",539.99,395.99,144.0,27.0,4.2,,Good
B015OW3M1W,2021-04-14,F,USA,Electronics,"HomeTheater,TV&Video",20.4,9.59,10.809999999999999,53.0,4.1,,Good
B01D5H8ZI8,2021-01-25,M,France,Electronics,"HomeTheater,TV&Video",7.14,2.75,4.39,62.0,4.3,,Good
B09X1M3DHX,2021-09-05,M,Japan,Electronics,"HomeTheater,TV&Video",335.88,119.99,215.89,64.0,4.2,,Good
B09MM6P76N,2021-12-24,M,UK,Electronics,"HomeTheater,TV&Video",7.19,4.19,3.0,42.0,4.2,284.0,Good
B01D5H8LDM,2021-11-28,F,Portugal,Electronics,"HomeTheater,TV&Video",14.4,5.87,8.530000000000001,59.0,4.4,,Good
B0B1YY6JJL,2021-02-08,M,USA,Electronics,"HomeTheater,TV&Video",419.88,287.99,131.89,31.0,4.3,,Good
B09QGZM8QB,2021-03-13,F,Portugal,Computers&Accessories,Accessories&Peripherals,11.99,4.79,7.2,60.0,4.3,,Good
B08L4SBJRY,2021-08-09,M,France,Electronics,HomeAudio,15.59,4.19,11.399999999999999,73.0,4.0,,Average
B09X79PP8F,2021-04-02,M,Italy,Computers&Accessories,Accessories&Peripherals,3.59,2.15,1.44,40.0,3.9,81.0,Average
B082T6GVG9,2021-03-11,M,France,Computers&Accessories,Accessories&Peripherals,18.0,8.27,9.73,54.0,4.2,,Good
B0B3XY5YT4,2021-03-16,F,UK,Electronics,"HomeTheater,TV&Video",599.88,371.88,228.0,38.0,4.3,,Good
B0B4HKH19N,2021-01-31,F,Italy,Computers&Accessories,Accessories&Peripherals,11.17,2.99,8.18,73.0,3.9,,Average
B08TGG316Z,2021-08-20,F,Portugal,Electronics,"HomeTheater,TV&Video",28.79,11.99,16.799999999999997,58.0,4.6,,Excellent
B071VMP1Z4,2021-02-17,F,Italy,Electronics,"HomeTheater,TV&Video",4.79,4.79,0.0,0.0,3.9,,Average
B071SDRGWL,2021-01-31,M,UK,Computers&Accessories,Accessories&Peripherals,8.39,4.19,4.2,50.0,4.3,,Good
B08PSQRW2T,2021-10-09,F,France,Computers&Accessories,Accessories&Peripherals,13.19,4.79,8.399999999999999,64.0,4.1,,Good
B0859M539M,2021-02-09,F,Portugal,Computers&Accessories,NetworkingDevices,35.99,20.39,15.600000000000001,43.0,4.4,,Good
B08RX8G496,2021-05-09,F,USA,Electronics,"HomeTheater,TV&Video",13.19,7.86,5.329999999999999,40.0,3.2,285.0,Average
B002SZEOLG,2021-01-31,M,USA,Computers&Accessories,NetworkingDevices,16.07,8.99,7.08,44.0,4.2,,Good
B08CS3BT4L,2021-07-05,F,USA,Electronics,"HomeTheater,TV&Video",155.99,119.99,36.000000000000014,23.0,4.2,,Good
B00RFWNJMC,2021-01-16,F,Portugal,Electronics,"HomeTheater,TV&Video",5.99,2.34,3.6500000000000004,61.0,3.7,,Average
B082T6GXS5,2021-08-16,M,USA,Computers&Accessories,Accessories&Peripherals,25.2,11.99,13.209999999999999,52.0,4.5,,Good
B09CMQRQM6,2021-03-14,F,France,Computers&Accessories,Accessories&Peripherals,10.79,5.99,4.799999999999999,44.0,4.2,919.0,Good
B005LJQMCK,2021-06-25,M,USA,Electronics,"HomeTheater,TV&Video",7.19,4.99,2.2,31.0,4.2,,Good
B09C6H53KH,2021-02-28,M,Portugal,Computers&Accessories,Accessories&Peripherals,8.39,4.42,3.9700000000000006,47.0,4.2,387.0,Good
B0BB3CBFBM,2021-01-06,F,Portugal,Electronics,"HomeTheater,TV&Video",780.0,359.88,420.12,54.0,4.1,211.0,Good
B08QSDKFGQ,2021-04-22,M,Italy,Computers&Accessories,Accessories&Peripherals,13.19,4.07,9.12,69.0,4.3,974.0,Good
B08PV1X771,2021-11-11,M,France,Electronics,"HomeTheater,TV&Video",250.8,185.88,64.92000000000002,26.0,4.3,,Good
B07YTNKVJQ,2021-07-16,M,UK,Computers&Accessories,Accessories&Peripherals,15.59,5.99,9.6,62.0,4.3,,Good
B0117H7GZ6,2021-08-01,F,USA,Computers&Accessories,NetworkingDevices,4.79,2.99,1.7999999999999998,38.0,3.4,,Average
B09XJ1LM7R,2021-09-20,M,France,Electronics,"HomeTheater,TV&Video",9.59,4.79,4.8,50.0,4.3,12.0,Good
B084N133Y7,2021-01-18,M,Italy,Computers&Accessories,Accessories&Peripherals,23.99,17.99,6.0,25.0,4.4,,Good
B088Z1YWBC,2021-04-12,M,Portugal,Electronics,"HomeTheater,TV&Video",191.88,113.88,78.0,41.0,3.9,,Average
B07VSG5SXZ,2021-10-25,F,Spain,Electronics,"HomeTheater,TV&Video",17.99,7.64,10.349999999999998,58.0,4.1,24.0,Good
B08RWCZ6SY,2021-03-02,F,Portugal,Electronics,"HomeTheater,TV&Video",10.79,4.79,5.999999999999999,56.0,3.9,254.0,Average
B07KSB1MLX,2021-05-15,F,Japan,Electronics,"HomeTheater,TV&Video",19.2,13.07,6.129999999999999,32.0,4.0,,Average
B081FG1QYX,2021-11-04,F,Italy,Computers&Accessories,Accessories&Peripherals,11.99,4.07,7.92,66.0,4.3,,Good
B08R69WBN7,2021-09-20,M,UK,Computers&Accessories,Accessories&Peripherals,5.99,1.79,4.2,70.0,4.0,,Average
B0B3RHX6B6,2021-12-27,F,Spain,Computers&Accessories,Accessories&Peripherals,4.79,1.79,3.0,63.0,3.9,57.0,Average
B084N18QZY,2021-04-01,F,UK,Computers&Accessories,Accessories&Peripherals,10.19,7.19,2.999999999999999,29.0,4.5,577.0,Good
B081NHWT6Z,2021-07-10,F,Italy,Electronics,"HomeTheater,TV&Video",14.39,3.59,10.8,75.0,3.9,,Average
B07JPJJZ2H,2021-07-26,F,USA,Computers&Accessories,Accessories&Peripherals,15.59,4.79,10.8,69.0,4.2,,Good
B09JKNF147,2021-11-02,M,Japan,Electronics,"HomeTheater,TV&Video",23.99,4.07,19.919999999999998,83.0,4.0,343.0,Average
B0B9959XF3,2021-08-05,M,Portugal,Electronics,"HomeTheater,TV&Video",275.88,149.99,125.88999999999999,46.0,4.3,,Good
B09PNR6F8Q,2021-09-20,F,Portugal,Computers&Accessories,Accessories&Peripherals,4.79,2.99,1.7999999999999998,38.0,4.0,,Average
B07M69276N,2021-11-13,F,Japan,Computers&Accessories,NetworkingDevices,29.99,16.79,13.2,44.0,4.4,,Good
B0B1YZ9CB8,2021-06-21,F,Spain,Electronics,"HomeTheater,TV&Video",575.88,395.99,179.89,31.0,4.3,,Good
B09YLYB9PB,2021-08-12,F,France,Computers&Accessories,Accessories&Peripherals,4.79,1.79,3.0,63.0,4.0,,Average
B08CTNJ985,2021-02-18,M,Italy,Computers&Accessories,Accessories&Peripherals,11.99,3.9,8.09,67.0,4.3,,Good
B0BP7XLX48,2021-08-16,M,Portugal,Computers&Accessories,Accessories&Peripherals,23.99,4.79,19.2,80.0,5.0,5.0,Excellent
B09LHXNZLR,2021-01-01,M,USA,Computers&Accessories,NetworkingDevices,5.99,2.39,3.6,60.0,3.7,612.0,Average
B0B3N8VG24,2021-04-12,F,USA,Computers&Accessories,Accessories&Peripherals,3.59,1.06,2.53,71.0,4.0,,Average
B08PSVBB2X,2021-10-18,M,USA,Computers&Accessories,Accessories&Peripherals,13.19,4.79,8.399999999999999,64.0,4.1,,Good
B0B3MQXNFB,2021-04-20,M,Japan,Computers&Accessories,Accessories&Peripherals,2.39,0.69,1.7000000000000002,71.0,4.0,,Average
B08XMSKKMM,2021-07-23,M,Japan,Electronics,"HomeTheater,TV&Video",23.99,9.59,14.399999999999999,60.0,3.3,576.0,Average
B09L8DT7D6,2021-01-15,M,USA,Electronics,"HomeTheater,TV&Video",5.99,2.46,3.5300000000000002,59.0,3.8,313.0,Average
B00GE55L22,2021-12-01,F,France,Computers&Accessories,Accessories&Peripherals,8.39,3.59,4.800000000000001,57.0,4.1,,Good
B0162K34H2,2021-03-04,M,Portugal,Computers&Accessories,Accessories&Peripherals,11.99,10.19,1.8000000000000007,15.0,4.1,,Good
B0B8SRZ5SV,2021-09-19,F,Portugal,Computers&Accessories,Accessories&Peripherals,23.99,11.39,12.599999999999998,53.0,4.4,,Good
B07CWNJLPC,2021-03-03,F,Portugal,Computers&Accessories,Accessories&Peripherals,14.4,5.99,8.41,58.0,4.3,,Good
B00NH12R1O,2021-01-01,F,UK,Computers&Accessories,Accessories&Peripherals,5.82,3.59,2.2300000000000004,38.0,4.3,,Good
B0B8SSC5D9,2021-08-31,F,Spain,Computers&Accessories,Accessories&Peripherals,23.99,11.39,12.599999999999998,53.0,4.4,,Good
B08WKG2MWT,2021-08-08,M,Japan,Computers&Accessories,Accessories&Peripherals,13.19,4.55,8.64,66.0,4.3,,Good
B0B466C3G4,2021-11-17,M,Italy,Electronics,"HomeTheater,TV&Video",227.88,107.88,120.0,53.0,3.9,350.0,Average
B005LJQMZC,2021-06-27,M,France,Electronics,"HomeTheater,TV&Video",23.99,5.83,18.159999999999997,76.0,4.2,,Good
B07MDRGHWQ,2021-11-11,F,France,Electronics,"HomeTheater,TV&Video",132.0,68.39,63.61,48.0,4.2,,Good
B07DC4RZPY,2021-06-26,F,Japan,Computers&Accessories,Accessories&Peripherals,23.99,8.51,15.479999999999999,65.0,4.1,,Good
B0B15GSPQW,2021-07-01,F,Italy,Electronics,"HomeTheater,TV&Video",850.8,575.88,274.91999999999996,32.0,4.3,,Good
B08GJNM9N7,2021-12-10,M,Italy,Electronics,"HomeTheater,TV&Video",14.39,3.59,10.8,75.0,3.7,490.0,Average
B09C6FML9B,2021-01-15,F,France,Computers&Accessories,Accessories&Peripherals,7.19,3.84,3.3500000000000005,47.0,4.1,491.0,Good
B0B65MJ45G,2021-04-24,M,Japan,Computers&Accessories,Accessories&Peripherals,6.59,1.67,4.92,75.0,3.9,61.0,Average
B08P9RYPLR,2021-02-09,M,USA,Computers&Accessories,Accessories&Peripherals,2.99,1.55,1.4400000000000002,48.0,4.0,,Average
B0B6F8HHR6,2021-06-20,M,Portugal,Electronics,"HomeTheater,TV&Video",431.99,299.99,132.0,31.0,4.2,,Good
B084MZXJN6,2021-04-12,F,USA,Computers&Accessories,Accessories&Peripherals,20.39,11.99,8.4,41.0,4.4,,Good
B08XMG618K,2021-03-27,F,France,Computers&Accessories,Accessories&Peripherals,5.99,2.7,3.29,55.0,4.1,789.0,Good
B0BCKWZ884,2021-12-28,M,Italy,Electronics,"HomeTheater,TV&Video",35.99,6.56,29.430000000000003,82.0,4.3,407.0,Good
B00GGGOYEK,2021-07-14,M,USA,Computers&Accessories,Accessories&Peripherals,8.39,3.11,5.280000000000001,63.0,3.8,,Average
